accuracy,sensitivity,specificity,precision,f1_score,model
0.9768885374069214,0.992199187860654,0.9627747822480298,0.9627747822480298,0.9772655509946322,experiment_20230711_222628
0.9769420027732849,0.992092327420389,0.9629706461985271,0.9629706461985271,0.9773145955050265,experiment_20230711_222628
0.9771559834480286,0.9928403505022441,0.9626981659931614,0.9626981659931614,0.9775369561786522,experiment_20230711_222628
0.977102518081665,0.992199187860654,0.9631742738589212,0.9631742738589212,0.9774713127697653,experiment_20230711_222628
0.9770489931106567,0.992412908741184,0.9628823224468637,0.9628823224468637,0.9774246171657107,experiment_20230711_222628
0.977102518081665,0.992626629621714,0.962790215588723,0.962790215588723,0.9774807955382511,experiment_20230711_222628
0.9769955277442932,0.992199187860654,0.962974486621033,0.962974486621033,0.9773684210526316,experiment_20230711_222628
0.9769955277442932,0.992412908741184,0.9627825005183496,0.9627825005183496,0.9773731845927173,experiment_20230711_222628
0.9769955277442932,0.992626629621714,0.9625906735751295,0.9625906735751295,0.9773779461279462,experiment_20230711_222628
0.9769955277442932,0.992306048300919,0.9628784736623808,0.9628784736623808,0.9773708030733607,experiment_20230711_222628
